algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,0,2.0085048948333024,0.15760000050067902,2.273983955383301,0.0,1.1398376791477203,0.0,6.0,1.0,0.0
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,1,2.255098147312124,0.18239998817443848,2.252794027328491,0.0,1.1423004519939424,0.0,6.0,1.0,0.0
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,2,2.400431065523688,0.20739999413490295,2.227630615234375,0.0,1.1446624190807342,0.0,5.0,1.0,0.0
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,3,2.4496653084249767,0.23589999973773956,2.200066089630127,0.0,1.1444398398399354,0.0,5.0,1.0,0.0
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,4,2.4988995513262653,0.2685999870300293,2.172791004180908,0.0,1.1426684520244599,0.0,5.0,1.0,0.0
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,5,2.548133794227554,0.2928999960422516,2.1528971195220947,0.0,1.1388943450450897,0.0,5.0,1.0,0.0
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,6,2.5973680371288426,0.3227999806404114,2.127046823501587,0.0,1.1353549737930297,0.0,5.0,1.0,0.0
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,7,2.646602280030131,0.35760000348091125,2.094062328338623,0.0,1.1304797122478485,0.0,5.0,1.0,0.0
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,8,2.6958365229314194,0.39149999618530273,2.0616683959960938,0.0,1.1227498099803925,0.0,5.0,1.0,0.0
cfl-fedavg,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,99999,9,2.745070765832708,0.42669999599456787,2.030524492263794,0.0,1.1147865998744964,0.0,5.0,1.0,0.0
